doc_id,dominant_topic,confidence
592,3,0.9834996
593,1,0.6070986
594,4,0.9641666
595,7,0.7012673
596,0,0.85192525
597,3,0.66812885
598,6,0.718106
599,3,0.5230634
600,6,0.7559292
601,6,0.96695757
602,4,0.96130854
603,3,0.68785614
604,5,0.85888875
605,6,0.9544237
606,6,0.96908325
607,6,0.9583681
608,3,0.5581991
609,3,0.67012274
610,6,0.86312366
611,3,0.65383327
612,6,0.96169114
613,6,0.9645195
614,3,0.7164153
615,2,0.96738464
616,6,0.7295768
617,5,0.8060789
618,0,0.9548049
619,0,0.815167
620,0,0.5452898
621,6,0.7092039
622,0,0.54157066
623,0,0.8887987
624,3,0.68222994
625,3,0.6485118
626,3,0.78335136
627,5,0.9542118
628,5,0.8628051
629,3,0.8985879
630,2,0.96738553
631,3,0.8455719
632,3,0.5878361
633,3,0.6060603
634,5,0.9615117
635,3,0.6785415
636,3,0.7652941
637,3,0.66745037
638,3,0.7047953
639,0,0.9620112
640,3,0.5305542
641,3,0.6067793
642,3,0.5187069
643,0,0.967236
644,3,0.71088016
645,2,0.6305631
646,5,0.74906176
647,4,0.8072397
648,1,0.837779
649,3,0.5953223
650,3,0.5827484
651,3,0.50328547
652,5,0.96680504
653,0,0.5440108
654,1,0.6213736
655,5,0.7612135
656,3,0.5179255
657,3,0.58680314
658,1,0.9572461
659,4,0.706473
660,3,0.58100617
661,2,0.81705964
662,0,0.9648177
663,0,0.9648167
664,0,0.5160782
665,6,0.38460296
666,0,0.80665237
667,4,0.953964
668,0,0.5566043
669,3,0.59621847
670,7,0.74330515
671,7,0.67053384
672,0,0.7413028
673,0,0.56288576
674,3,0.6766997
675,3,0.7709709
676,2,0.89205134
677,3,0.55656874
678,2,0.9589072
679,0,0.9587158
680,3,0.9834995
681,6,0.50617033
682,1,0.5681507
683,3,0.8786785
684,2,0.9821216
685,2,0.9833761
686,0,0.56760335
687,3,0.79614997
688,2,0.98066545
689,0,0.9648166
690,3,0.6712762
691,0,0.5051096
692,6,0.9583718
693,3,0.69282293
694,2,0.9673848
695,0,0.5702384
696,0,0.51728356
697,3,0.5472902
698,4,0.9579575
699,3,0.6840363
700,6,0.81959176
701,2,0.9839397
702,2,0.56888884
703,0,0.78664577
704,3,0.5254188
705,2,0.98277044
706,1,0.96356076
707,3,0.590346
708,2,0.74824494
709,3,0.5470794
710,3,0.6891728
711,0,0.50310963
712,3,0.6510682
713,1,0.95319
714,3,0.5900707
715,4,0.76448935
716,0,0.49617463
717,4,0.9613049
718,3,0.98412114
719,2,0.8822936
720,2,0.98337615
721,7,0.8051532
722,3,0.5437571
723,6,0.9690841
724,0,0.81000596
725,3,0.68436164
726,4,0.957955
727,3,0.5033701
728,2,0.9385843
729,2,0.9673842
730,2,0.9673834
731,2,0.9821247
732,4,0.67919093
733,3,0.4950792
734,1,0.50744987
735,3,0.6873131
736,3,0.70365936
737,1,0.9572455
738,0,0.8527291
739,3,0.57054406
740,6,0.6800832
741,3,0.5925855
742,0,0.4810507
743,3,0.5163433
744,3,0.9820978
745,3,0.7418094
746,3,0.98349965
747,0,0.8900181
748,3,0.64389825
749,5,0.9542124
750,3,0.9834995
751,0,0.84790736
752,4,0.754587
753,6,0.961691
754,3,0.5453318
755,0,0.96723586
756,4,0.50734043
757,3,0.6289469
758,3,0.67751753
759,2,0.9806663
760,0,0.9648146
761,0,0.5008355
762,3,0.6116834
763,0,0.50028986
764,4,0.64521015
765,6,0.58593994
766,3,0.62476313
767,2,0.8169384
768,5,0.8637982
769,3,0.7514874
770,6,0.9616911
771,3,0.5472524
772,3,0.6154649
773,6,0.7533068
774,2,0.83715147
775,7,0.9534717
776,4,0.9579586
777,4,0.4835841
778,4,0.9579537
779,0,0.96481603
780,2,0.9821235
781,5,0.95421284
782,0,0.54044247
783,5,0.9581788
784,3,0.7183361
785,2,0.9833758
786,0,0.96481717
787,0,0.96201164
788,0,0.76291245
789,2,0.93628997
790,3,0.5494094
791,6,0.8605485
792,1,0.49516565
793,1,0.6890622
794,0,0.6661485
795,0,0.96481764
796,3,0.5537129
797,0,0.5619685
798,3,0.5802041
799,3,0.5163013
800,2,0.9649762
801,0,0.96201247
802,5,0.82918054
803,0,0.5310988
804,2,0.786272
805,3,0.71108866
806,4,0.8177255
807,2,0.635276
808,3,0.72384626
809,0,0.68434334
810,0,0.5633199
811,6,0.53551716
812,5,0.95421386
813,1,0.72243184
814,3,0.7392751
815,4,0.84500825
816,6,0.7727043
817,7,0.9534685
818,3,0.6664674
819,4,0.7784785
820,7,0.6381528
821,1,0.72709817
822,2,0.9839364
823,3,0.84813476
824,7,0.8000335
825,6,0.8524449
826,3,0.7458313
827,3,0.7910264
828,5,0.9542126
829,3,0.68684316
830,4,0.39965963
831,1,0.96606296
832,3,0.5334406
833,3,0.59020555
834,6,0.95837134
835,3,0.67771125
836,2,0.98337734
837,2,0.98212326
838,2,0.98394006
839,6,0.96451867
840,6,0.9544231
841,3,0.9828273
842,3,0.53710955
843,3,0.927385
844,5,0.9643545
845,4,0.9579563
846,2,0.96948177
847,7,0.4166729
848,0,0.95872253
849,3,0.98349965
850,3,0.89904463
851,0,0.49278516
852,0,0.5134713
853,3,0.5294697
854,0,0.9548033
855,2,0.9827733
856,5,0.9581739
857,3,0.8815663
858,3,0.661889
859,5,0.9542134
860,3,0.71413434
861,3,0.63140315
862,3,0.6063327
863,3,0.83197075
864,0,0.96200794
865,2,0.98212373
866,0,0.55818975
867,6,0.96695644
868,2,0.9844653
869,0,0.96481514
870,3,0.76184666
871,4,0.9613071
872,5,0.9581773
873,6,0.69121903
874,3,0.646971
875,5,0.79680055
876,6,0.678891
877,2,0.9844656
878,3,0.54921466
879,2,0.5914856
880,2,0.7705483
881,3,0.7633533
882,3,0.54455394
883,3,0.7091664
884,3,0.5179498
885,3,0.5573723
886,3,0.6535222
887,0,0.9693439
888,3,0.8981994
889,5,0.95817935
890,6,0.5194529
891,0,0.9648145
892,2,0.9821245
893,3,0.56516904
894,3,0.61222446
895,4,0.82144725
896,3,0.6497099
897,6,0.966956
898,2,0.98394036
899,2,0.96497786
900,1,0.59281784
901,7,0.72896206
902,3,0.55937177
903,3,0.60577315
904,3,0.8092212
905,3,0.64982957
906,3,0.7359171
907,3,0.65581113
908,2,0.9814052
909,7,0.6497577
910,6,0.9616907
911,3,0.34514713
912,3,0.5783644
913,6,0.7487445
914,3,0.55878234
915,3,0.8002216
916,2,0.5140875
917,6,0.9544237
918,6,0.76945996
919,0,0.44340524
920,0,0.9548066
921,4,0.9539685
922,5,0.9542095
